fecha_hechos,delito,categoria_delito,fiscalia,agencia,unidad_investigacion,alcaldia_hechos,colonia_hechos,calle_hechos,longitud,latitud,uv,ilu_luna,punto_rocio,temp_sentir,nubosidad,humedad,precipitacion,presion,temperatura,visibilidad,dir_viento,vel_viento,nombre_dia,dia_festivo
2014-02-03 15:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-2SD,CUAUHTEMOC,BUENAVISTA,EJE 1 NTE. MOSQUETA,-99.1517527357148,19.445801415049697,4,21,3,24,0,26,0.0,1011,21,10,193,15,0,0
2014-02-26 23:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-2SD,CUAUHTEMOC,CENTRO URBANO BENITO JUÁREZ,EJE 1 PTE. AV.  CUAUHTEMOC,-99.1551859999999,19.407488999833802,5,5,9,17,6,62,0.0,1014,15,10,67,3,2,0
2014-06-27 09:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-2,UI-2CD,CUAUHTEMOC,CENTRO,DOCTOR MORA,-99.146292222434,19.4352922097353,4,0,12,15,53,83,0.6,1016,14,9,191,6,4,0
2014-07-13 16:00:00,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-3SD,CUAUHTEMOC,ROMA NORTE,ALVARO OBREGON,-99.1629615541704,19.417566280121,3,90,11,21,10,56,0.0,1016,19,10,32,9,6,0
2014-09-08 16:00:00,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-5,UI-3SD,CUAUHTEMOC,JUÁREZ,HAMBURGO,-99.16869800436591,19.424360270197102,4,99,13,19,24,70,0.0,1014,18,10,38,11,0,0
2014-11-06 20:00:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN DE LOS DELITOS COMETIDOS POR SERVIDORES PUBLICOS,B,UI-1CD,CUAUHTEMOC,CONDESA,TAMAULIPAS,-99.173666,19.411718999833397,4,98,11,14,12,77,0.0,1018,13,10,146,6,3,0
2015-01-02 20:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-2,UI-1CD,CUAUHTEMOC,BUENAVISTA,AV. INSURGENTES NORTE,-99.15415199999991,19.443833999833398,4,80,6,11,6,66,0.0,1015,12,10,192,13,4,0
2015-01-04 08:38:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-3,UI-3CD,CUAUHTEMOC,MORELOS,GONZALEZ ORTEGA,-99.1256529999999,19.4433539998332,4,94,6,12,6,65,0.0,1021,11,10,119,7,6,0
2015-01-06 09:00:00,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-5,UI-3SD,CUAUHTEMOC,JUÁREZ,BUCARELI,-99.15302099999991,19.4275609998335,3,100,6,7,37,83,0.0,1026,8,10,19,10,1,1
2015-01-07 07:00:00,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN AGENCIAS DE ATENCIÓN ESPECIALIZADAS,STCMH,UI-1CD,CUAUHTEMOC,CENTRO,ARCOS DE BELEN,-99.143485,19.4269729998339,4,84,7,8,28,86,0.0,1024,8,10,222,8,2,0
2015-01-07 09:50:00,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN AGENCIAS DE ATENCIÓN ESPECIALIZADAS,STCMH,UI-1CD,CUAUHTEMOC,VISTA ALEGRE,SAN ANTONIO ABAD,-99.13539499999999,19.409147999833102,4,84,7,9,17,74,0.0,1024,10,10,27,13,2,0
