fecha_hechos,delito,categoria_delito,fiscalia,agencia,unidad_investigacion,alcaldia_hechos,colonia_hechos,calle_hechos,longitud,latitud,uv,ilu_luna,punto_rocio,temp_sentir,nubosidad,humedad,precipitacion,presion,temperatura,visibilidad,dir_viento,vel_viento,nombre_dia,dia_festivo
2014-07-13 16:00:00,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-3SD,CUAUHTEMOC,ROMA NORTE,ALVARO OBREGON,-99.1629615541704,19.417566280121,3,90,11,21,10,56,0.0,1016,19,10,32,9,6,0
2015-01-07 21:45:00,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN AGENCIAS DE ATENCIÓN ESPECIALIZADAS,A,UI-1SD,CUAUHTEMOC,ROMA NORTE,AV. CHAPULTEPEC,-99.17630518098879,19.4205127789706,4,84,7,8,60,85,0.0,1023,9,10,26,14,2,0
2015-04-17 02:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN BENITO JUÁREZ,BJ-1,UI-2CD,CUAUHTEMOC,ROMA NORTE,NUEVOLEON (AV. OAXACA),-99.1681239999999,19.4181059998337,5,0,8,22,1,40,0.0,1015,16,10,194,7,4,0
2015-10-16 11:30:00,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-2,UI-2SD,CUAUHTEMOC,ROMA NORTE,INSURGENTES SUR,-99.1645729999999,19.4174299998335,3,19,9,19,13,55,0.0,1017,18,10,227,10,4,0
2015-11-06 23:00:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN MIGUEL HIDALGO,MH-4,UI-3CD,CUAUHTEMOC,ROMA NORTE,MAESTRO JOSE  VASCONSELOS,-99.1765011999999,19.4201080998336,4,22,13,15,21,89,0.0,1016,13,10,241,4,4,0
2015-11-07 18:49:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-3SD,CUAUHTEMOC,ROMA NORTE,ALVARO OBREGON,-99.15804199999991,19.4185039998337,5,14,11,18,11,60,0.0,1013,17,10,347,10,5,0
2015-11-30 15:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-1SD,CUAUHTEMOC,ROMA NORTE,DURANGO,-99.16674299999991,19.419767999833898,4,63,5,27,0,23,0.0,1011,23,10,259,4,0,0
2015-12-09 01:40:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-3SD,CUAUHTEMOC,ROMA NORTE,SONORA 57,-99.172206,19.4185959998333,4,3,8,12,18,73,0.0,1018,11,10,65,2,2,0
2015-12-11 12:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-3SD,CUAUHTEMOC,ROMA NORTE,COLIMA,-99.1720639999999,19.4171629998338,4,0,7,21,6,39,0.0,1015,19,10,183,11,4,0
2015-12-12 13:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-3SD,CUAUHTEMOC,ROMA NORTE,CORDOBA,-99.1583529999999,19.417732999833397,5,4,7,21,20,43,0.0,1013,20,10,177,14,5,1
2015-12-31 23:30:00,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-1SD,CUAUHTEMOC,ROMA NORTE,GUANAJUATO,-99.15552,19.4176279998332,5,61,11,16,10,74,0.0,1018,14,10,242,6,3,1
2016-01-04 12:20:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-3SD,CUAUHTEMOC,ROMA NORTE,COLIMA,-99.17206429999891,19.417162599013604,4,28,4,19,11,39,0.0,1019,17,10,204,4,0,0
2016-01-05 15:20:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-2,UI-1CD,CUAUHTEMOC,ROMA NORTE,ORIZABA,-99.1581823602219,19.4117580453824,4,21,3,20,3,32,0.0,1015,18,10,239,15,1,1
2016-01-05 20:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-2CD,CUAUHTEMOC,ROMA NORTE,AVENIDA CUAUHTEMOC,-99.15488136441799,19.4118965835433,4,21,5,14,2,53,0.0,1017,13,10,196,11,1,1
2016-01-09 03:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-2CD,CUAUHTEMOC,ROMA NORTE,MEDELLIN,-99.1655549999999,19.4158269998334,4,0,0,13,0,38,0.0,1015,9,10,192,9,5,0
2016-01-11 18:35:00,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-2SD,CUAUHTEMOC,ROMA NORTE,AV. CHAPULTEPEC,-99.1754139999999,19.4206479998339,4,8,4,18,0,40,0.0,1014,14,10,165,9,0,0
2016-01-16 03:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-1SD,CUAUHTEMOC,ROMA NORTE,AV. MONTERREY,-99.1648159999999,19.4200469998339,4,44,-7,8,11,29,0.0,1015,8,10,193,8,5,0
2016-01-18 18:50:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-2CD,CUAUHTEMOC,ROMA NORTE,TABASCO,-99.1643449999999,19.4181829998338,4,59,4,20,0,35,0.0,1018,15,10,111,6,0,0
2016-01-20 02:40:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-2,UI-3CD,CUAUHTEMOC,ROMA NORTE,ORIZABA,-99.16079062698358,19.4225588118103,4,73,6,12,7,64,0.0,1021,10,10,29,3,2,0
2016-01-23 20:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-1CD,CUAUHTEMOC,ROMA NORTE,PUEBLA,-99.153898,19.4243089998338,4,95,-1,16,0,33,0.0,1018,12,10,135,6,5,0
2016-01-25 11:30:00,ROBO A TRANSEUNTE SALIENDO DEL BANCO CON VIOLENCIA,ROBO A CUENTAHABIENTE SALIENDO DEL CAJERO CON VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-1CD,CUAUHTEMOC,ROMA NORTE,SALAMANCA,-99.16915899999991,19.417424999833102,4,100,-2,19,8,25,0.0,1016,17,10,201,5,0,0
2016-01-26 08:00:00,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-1SD,CUAUHTEMOC,ROMA NORTE,AV. SONORA,-99.1723649999999,19.4190529998335,4,83,0,12,30,40,0.0,1017,13,10,193,12,1,0
2016-01-29 21:45:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-2,UI-1CD,CUAUHTEMOC,ROMA NORTE,CHIHUAHUA,-99.1571499999999,19.417946999833802,3,61,-4,13,15,31,0.0,1018,12,10,174,6,4,0
2016-01-30 04:00:00,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,URI-CUH-2,UI-1SD,CUAUHTEMOC,ROMA NORTE,PUEBLA,-99.165054,19.4221159998336,4,54,-6,11,6,31,0.0,1019,8,10,191,5,5,0
